,0
0,GLD
1,SLV
2,PPLT
3,COW
4,DBB
5,JJC
6,USO
7,UNG
8,DBC
9,DJP
10,GSG
11,DBA
12,RJA
13,JO
14,JJG
15,CORN
16,BND
17,AGG
18,CMBS
19,BKLN
20,CWB
21,LQD
22,HYG
23,JNK
24,SHY
25,IEF
26,IEI
27,EMB
28,TLT
29,TIP
30,MBB
31,MUB
32,UUP
33,YCS
34,USDU
35,VXX
36,EFA
37,VWO
38,VEA
39,EEM
40,EWA
41,EWC
42,EWD
43,EWG
44,EWH
45,EWI
46,EWJ
47,EWL
48,EWP
49,EWT
50,EWU
51,EWW
52,EWY
53,EWZ
54,FXI
55,INDA
56,MCHI
57,RSX
58,EWK
59,EWM
60,EWN
61,EWO
62,EWQ
63,EWS
64,EZA
65,THD
66,TUR
67,EIDO
68,SPY
69,MMM
70,ABT
71,ABBV
72,ACN
73,ATVI
74,ADBE
75,AAP
76,AES
77,AET
78,AFL
79,AMG
80,A
81,APD
82,AKAM
83,AA
84,AGN
85,ALXN
86,ALLE
87,ADS
88,ALL
89,GOOGL
90,GOOG
91,MO
92,AMZN
93,AEE
94,AAL
95,AEP
96,AXP
97,AIG
98,AMT
99,AMP
100,ABC
101,AME
102,AMGN
103,APH
104,APC
105,ADI
106,AON
107,APA
108,AIV
109,AAPL
110,AMAT
111,ADM
112,AIZ
113,T
114,ADSK
115,ADP
116,AN
117,AZO
118,AVGO
119,AVB
120,AVY
121,BHI
122,BLL
123,BAC
124,BK
125,BCR
126,BAX
127,BBT
128,BDX
129,BBBY
130,BBY
131,BIIB
132,BLK
133,HRB
134,BA
135,BWA
136,BXP
137,BSX
138,BMY
139,CHRW
140,CA
141,COG
142,CPB
143,COF
144,CAH
145,HSIC
146,KMX
147,CCL
148,CAT
149,CBG
150,CBS
151,CELG
152,CNP
153,CTL
154,CERN
155,CF
156,SCHW
157,CHK
158,CVX
159,CMG
160,CB
161,CHD
162,CI
163,XEC
164,CINF
165,CTAS
166,CSCO
167,C
168,CTXS
169,CLX
170,CME
171,CMS
172,COH
173,KO
174,CCE
175,CTSH
176,CL
177,CMCSA
178,CMA
179,CAG
180,COP
181,CNX
182,ED
183,STZ
184,GLW
185,COST
186,CCI
187,CSRA
188,CSX
189,CMI
190,CVS
191,DHI
192,DHR
193,DRI
194,DVA
195,DE
196,DLPH
197,DAL
198,XRAY
199,DVN
200,DO
201,DFS
202,DISCA
203,DISCK
204,DG
205,DLTR
206,D
207,DOV
208,DOW
209,DPS
210,DTE
211,DD
212,DUK
213,DNB
214,ETFC
215,EMN
216,ETN
217,EBAY
218,ECL
219,EIX
220,EW
221,EA
222,EMC
223,EMR
224,ENDP
225,ESV
226,ETR
227,EOG
228,EQT
229,EFX
230,EQIX
231,EQR
232,ESS
233,EL
234,ES
235,EXC
236,EXPE
237,EXPD
238,ESRX
239,EXR
240,XOM
241,FFIV
242,FB
243,FAST
244,FDX
245,FIS
246,FITB
247,FSLR
248,FE
249,FISV
250,FLIR
251,FLS
252,FLR
253,FMC
254,FTI
255,F
256,BEN
257,FCX
258,FTR
259,GME
260,GPS
261,GRMN
262,GD
263,GE
264,GGP
265,GIS
266,GM
267,GPC
268,GILD
269,GS
270,GT
271,GWW
272,HAL
273,HBI
274,HOG
275,HAR
276,HRS
277,HIG
278,HAS
279,HCA
280,HCP
281,HP
282,HES
283,HPE
284,HD
285,HON
286,HRL
287,HST
288,HPQ
289,HUM
290,HBAN
291,ITW
292,ILMN
293,IR
294,INTC
295,ICE
296,IBM
297,IP
298,IPG
299,IFF
300,INTU
301,ISRG
302,IVZ
303,IRM
304,JEC
305,JBHT
306,JNJ
307,JCI
308,JPM
309,JNPR
310,KSU
311,K
312,KEY
313,KMB
314,KIM
315,KMI
316,KLAC
317,KSS
318,KHC
319,KR
320,LB
321,LLL
322,LH
323,LRCX
324,LM
325,LEG
326,LEN
327,LVLT
328,LUK
329,LLY
330,LNC
331,LLTC
332,LMT
333,L
334,LOW
335,LYB
336,MTB
337,MAC
338,M
339,MNK
340,MRO
341,MPC
342,MAR
343,MMC
344,MLM
345,MAS
346,MA
347,MAT
348,MKC
349,MCD
350,MCK
351,MJN
352,WRK
353,MDT
354,MRK
355,MET
356,KORS
357,MCHP
358,MU
359,MSFT
360,MHK
361,TAP
362,MDLZ
363,MON
364,MNST
365,MCO
366,MS
367,MOS
368,MSI
369,MUR
370,MYL
371,NDAQ
372,NOV
373,NAVI
374,NTAP
375,NFLX
376,NWL
377,NFX
378,NEM
379,NWSA
380,NWS
381,NEE
382,NLSN
383,NKE
384,NI
385,NBL
386,JWN
387,NSC
388,NTRS
389,NOC
390,NRG
391,NUE
392,NVDA
393,ORLY
394,OXY
395,OMC
396,OKE
397,ORCL
398,OI
399,PCAR
400,PH
401,PDCO
402,PAYX
403,PYPL
404,PNR
405,PBCT
406,PEP
407,PKI
408,PRGO
409,PFE
410,PCG
411,PM
412,PSX
413,PNW
414,PXD
415,PBI
416,PNC
417,RL
418,PPG
419,PPL
420,PX
421,PCLN
422,PFG
423,PG
424,PGR
425,PLD
426,PRU
427,PEG
428,PSA
429,PHM
430,PVH
431,QRVO
432,PWR
433,QCOM
434,DGX
435,RRC
436,RTN
437,O
438,RHT
439,REGN
440,RF
441,RSG
442,RAI
443,RHI
444,ROK
445,COL
446,ROP
447,ROST
448,RCL
449,R
450,CRM
451,SCG
452,SLB
453,SNI
454,STX
455,SEE
456,SRE
457,SHW
458,SIG
459,SPG
460,SWKS
461,SLG
462,SJM
463,SNA
464,SO
465,LUV
466,SWN
467,SE
468,STJ
469,SWK
470,SPLS
471,SBUX
472,HOT
473,STT
474,SRCL
475,SYK
476,STI
477,SYMC
478,SYF
479,SYY
480,TROW
481,TGT
482,TEL
483,TGNA
484,THC
485,TDC
486,TSO
487,TXN
488,TXT
489,HSY
490,TRV
491,TMO
492,TIF
493,TWX
494,TJX
495,TMK
496,TSS
497,TSCO
498,RIG
499,TRIP
500,FOXA
501,FOX
502,TSN
503,TYC
504,USB
505,UA
506,UNP
507,UAL
508,UNH
509,UPS
510,URI
511,UTX
512,UHS
